genus,Decile 3,Decile 4,Decile 5,Decile 6,Decile 7,Decile 8,Decile 9,Buccal decile 10 (cervical),Decile 3,Decile 4,Decile 5,Decile 6,Decile 7,Decile 8,Decile 9,Buccal decile 10 (cervical)
Homo_sapiens,8.365089692,8.365089692,9.294544103,12.08290733,15.80072497,16.73017938,16.73017938,15.80072497,NA,NA,NA,NA,NA,NA,NA,NA
Homo_sapiens,9.675858732,17.41654572,19.35171746,21.28688921,24.18964683,29.99516207,30.96274794,28.05999032,NA,NA,NA,NA,NA,NA,NA,NA
Homo_sapiens,13.57466063,13.57466063,13.57466063,19.00452489,21.71945701,21.71945701,20.81447964,21.71945701,NA,NA,NA,NA,NA,NA,NA,NA
Homo_sapiens,9.611277232,9.611277232,16.01879539,20.29047416,22.42631354,21.35839385,24.56215293,23.49423323,NA,NA,NA,NA,NA,NA,NA,NA
Homo_sapiens,11.03752759,9.933774834,11.03752759,14.34878587,17.66004415,24.28256071,28.69757174,28.69757174,NA,NA,NA,NA,NA,NA,NA,NA
Homo_sapiens,10.38421599,13.2162749,16.99235344,18.88039271,20.76843198,25.48853016,27.37656943,31.15264798,NA,NA,NA,NA,NA,NA,NA,NA
Homo_sapiens,9.361348034,12.48179738,15.60224672,17.68254629,17.68254629,17.68254629,17.68254629,15.60224672,NA,NA,NA,NA,NA,NA,NA,NA
Homo_sapiens,10.17105871,12.94498382,13.86962552,13.86962552,16.64355062,16.64355062,15.71890892,13.86962552,NA,NA,NA,NA,NA,NA,NA,NA
Homo_sapiens,13.02446739,12.09414829,14.88510559,17.67606289,17.67606289,17.67606289,18.60638199,16.74574379,NA,NA,NA,NA,NA,NA,NA,NA
Homo_sapiens,11.76093232,11.76093232,12.83010799,12.83010799,22.45268898,23.52186464,25.66021597,19.24516198,NA,NA,NA,NA,NA,NA,NA,NA
Homo_sapiens,11.23174841,12.47972045,12.47972045,12.47972045,16.22363659,18.71958068,24.95944091,27.455385,NA,NA,NA,NA,NA,NA,NA,NA
Neanderthal,10.47619048,13.33333333,14.28571429,14.28571429,16.19047619,16.19047619,15.23809524,15.23809524,NA,NA,NA,NA,NA,NA,NA,NA
Neanderthal,9.917355372,9.917355372,9.917355372,10.74380165,15.70247934,14.87603306,15.70247934,16.52892562,NA,NA,NA,NA,NA,NA,NA,NA
Neanderthal,10.43478261,11.30434783,11.30434783,14.7826087,14.7826087,14.7826087,16.52173913,16.52173913,NA,NA,NA,NA,NA,NA,NA,NA
Neanderthal,10.83333333,13.33333333,13.33333333,15,15,16.66666667,15,13.33333333,NA,NA,NA,NA,NA,NA,NA,NA
Neanderthal,10.19607843,10.98039216,10.19607843,12.54901961,14.11764706,16.47058824,18.03921569,19.60784314,NA,NA,NA,NA,NA,NA,NA,NA
Neanderthal,9.558823529,9.558823529,13.97058824,15.44117647,16.17647059,16.17647059,16.17647059,8.823529412,NA,NA,NA,NA,NA,NA,NA,NA
Neanderthal,11.62790698,12.40310078,13.95348837,14.72868217,17.05426357,17.82945736,20.15503876,16.27906977,NA,NA,NA,NA,NA,NA,NA,NA
Pan_paniscus,NA,NA,NA,NA,NA,NA,NA,NA,17.1919771,19.1021968,21.0124164,24.8328558,24.8328558,26.7430755,28.6532951,22.9226361
Pan_paniscus,NA,NA,NA,NA,NA,NA,NA,NA,16.1127895,17.1198389,20.1409869,23.1621349,22.1550856,23.1621349,24.1691843,21.1480363
Pan_troglodytes,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.2008966,18.2408518,20.1609414,24.0011207,18.2408518,19.2008966,NA
Pan_troglodytes,NA,NA,NA,NA,NA,NA,NA,NA,16.1016949,16.1016949,18.6440678,19.4915254,21.1864407,23.7288136,18.6440678,13.559322
Pan_troglodytes,NA,NA,NA,NA,NA,NA,NA,NA,16.5794066,16.5794066,17.452007,15.7068063,20.069808,14.8342059,14.8342059,13.0890052
Pan_troglodytes,NA,NA,NA,NA,NA,NA,NA,NA,15.0880134,15.0880134,15.9262364,16.7644594,15.0880134,16.7644594,12.5733445,14.2497904
Pan_troglodytes,NA,NA,NA,NA,NA,NA,NA,NA,12.4542125,16.1172161,17.5824176,19.0476191,16.8498169,14.6520147,14.6520147,15.3846154
